University,Latitude,Longitude,Address
Gokhale Institute of Politics & Economics,18.5208688,73.8327706,"Gokhale Institute of Politics & Economics, Gopal Ganesh Agarkar Path, Deccan Gymkhana, Pune City, Pune, Maharashtra, 411004, India"
Gondwana University,20.1770881,79.96407995,"Gondwana University, Chandrapur Road, Navegaon, Gadchiroli, Gadchiroli Taluka, Gadchiroli, Maharashtra, 442605, India"
Gopal Narayan Singh University,24.94290185,84.1018534,"Gopal Narayan Singh University, NH119A, Suara, Sasaram, Rohtas, Bihar, 821305, India"
Graphic Era,30.26802515,77.99611868,"Graphic Era (Deemed to be) University, 566/6, Bell Road, Mohabbewāla, Dehradun, Uttarakhand, 248001, India"
Graphic Era Hill University,30.27279465,78.00061101,"Graphic Era Hill University, Dehradun Campus, St. Mary's Church Road, Ogalwāla, Dehradun, Uttarakhand, 248001, India"
Gujarat National Law University,23.151308,72.65993623,"Gujarat National Law University, Aqualine SEZ, Gandhinagar Taluka, Gandhinagar, Gujarat, 382426, India"
Gujarat Technological University,23.10586715,72.59374536,"Gujarat Technological University, SH71, SabarmatiTaluka, Ahmedabad, Gujarat, 382424, India"
Gujarat University,23.0373068,72.54474811,"Gujarat University, Gujarat University Internal Road, Panjrapole, Vejalpur Taluka, Ahmedabad, Gujarat, 380052, India"
Gulbarga University,17.31375365,76.87561122,"Gulbarga University, Sedam Road, Rajapura, Kalaburagi, Kalaburagi taluku, Kalaburagi, Karnataka, 585101, India"
Guru Nanak Dev University,31.6401718,74.82266846,"Guru Nanak Dev University, Amritsar Bypass Road Flyover, Kala Ghanupur, Amritsar I Tahsil, Amritsar, Punjab, 143005, India"
Guru Nanak University,31.6401718,74.82266846,"Guru Nanak Dev University, Amritsar Bypass Road Flyover, Kala Ghanupur, Amritsar I Tahsil, Amritsar, Punjab, 143005, India"
Gurugram University,28.42364965,77.06562478,"Gurugram University, Luxotica Lane 2, Mayfield Garden, Sector 51, Gurgaon, Gurugram, Haryana, 122018, India"
Gyanveer University,23.8738227,78.6069745,"Gyanveer University, NH934, Mara Imliya, Naryawali, Sagar Tahsil, Sagar, Madhya Pradesh, 470115, India"
Harcourt Butler Technical University,26.50013055,80.28601994,"Harcourt Butler Technical University - HBTU, NH34, Kanpur, Kanpur Nagar, Uttar Pradesh, 208024, India"
Hassan University,8.50152955,76.94658816,"Hassan Marikar Hall, Kerala University road, Palayam, Thiruvananthapuram, Kerala, 695001, India"
Hemchandracharya North Gujarat University,23.86325975,72.13368776,"Hemachadracharya North Gujarat University, University Road, Patan, Patan Taluka, Patan, Gujarat, 384200, India"
